Name,Description,Section,Parent Task,Seção do Manual
"1.2.3 Documente as cinco alavancas em uma tabela simples com as seguintes colunas: nome da alavanca,...","Documente as cinco alavancas em uma tabela simples com as seguintes colunas: nome da alavanca, indicador que a mede, valor atual, meta de curto prazo e status de prioridade (prioridade alta, média ou baixa no momento). Essa tabela é o mapa de alavancas da empresa e deve estar acessível à liderança comercial a qualquer momento.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.2. Clareza sobre as Alavancas de Crescimento,Seção 1: Posicionamento e Alavancas de Crescimento
1.2.4 Defina qual é a alavanca prioritária para os próximos 30 a 90 dias.,"Defina qual é a alavanca prioritária para os próximos 30 a 90 dias. A escolha deve ser justificada por dados: qual alavanca, se melhorada, gera o maior impacto de receita no menor tempo com os recursos disponíveis. Registre a justificativa por escrito. Isso evita que a prioridade mude toda semana por pressão do momento.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.2. Clareza sobre as Alavancas de Crescimento,Seção 1: Posicionamento e Alavancas de Crescimento
"1.2.5 Comunique a alavanca prioritária para o time comercial com clareza: o que será priorizado, por...","Comunique a alavanca prioritária para o time comercial com clareza: o que será priorizado, por que essa escolha foi feita e qual é o indicador que mostrará se a alavanca está sendo movida. A equipe precisa entender a lógica da priorização, não apenas receber a instrução.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.2. Clareza sobre as Alavancas de Crescimento,Seção 1: Posicionamento e Alavancas de Crescimento
1.2.6 Inclua a revisão das alavancas na cadência de reuniões comerciais.,"Inclua a revisão das alavancas na cadência de reuniões comerciais. A tabela de alavancas deve ser revisada mensalmente para verificar se a prioridade ainda faz sentido ou se alguma mudança no cenário exige ajuste. Registre quem conduz essa revisão e em qual reunião ela ocorre.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.2. Clareza sobre as Alavancas de Crescimento,Seção 1: Posicionamento e Alavancas de Crescimento
1.3. North Star Metric Comercial Definida,"TAREFA MACRO
Escolher, documentar e monitorar o indicador principal que orienta todas as prioridades e decisões da operação comercial, a chamada North Star Metric. Esse indicador deve refletir com precisão o modelo de negócio da empresa e funcionar como bússola única para o time comercial: quando ele sobe de forma consistente, a empresa está crescendo de maneira saudável. Quando ele estagna ou cai, é sinal de que algo precisa ser corrigido antes que vire crise.

LÓGICA E IMPORTÂNCIA
Times comerciais sem uma North Star Metric claramente definida tendem a monitorar muitos indicadores ao mesmo tempo e, na prática, não tomam decisões com base em nenhum deles. Faturamento bruto sobe, mas a base de clientes encolhe. Novos contratos aumentam, mas a receita recorrente cai porque o churn está alto. O volume de propostas enviadas cresce, mas a conversão despenca. Cada área celebra o próprio número e ninguém enxerga o movimento real da empresa. A North Star Metric resolve esse problema ao criar um único ponto de referência compartilhado. Ela não substitui os demais indicadores, mas os hierarquiza: tudo o que o time faz deve, em última análise, mover esse número. Isso simplifica decisões, alinha prioridades e dá à liderança uma leitura rápida e confiável sobre a saúde comercial da operação. A escolha do indicador certo depende do modelo de negócio. Empresas com receita recorrente (assinaturas, mensalidades, contratos de longo prazo) costumam usar ARR (Receita Recorrente Anual) ou MRR (Receita Recorrente Mensal) como North Star porque esses indicadores capturam tanto crescimento quanto retenção. Empresas focadas em ampliar carteira de clientes escolhem novos logos (quantidade de novos clientes conquistados por período) quando aquisição é o motor principal do crescimento. Empresas com base consolidada e foco em expansão usam NRR (Retenção Líquida de Receita), que mede se a base atual está crescendo mesmo sem novos clientes. Uma empresa que escolhe o indicador errado para seu momento cria uma ilusão de crescimento que só se revela tarde demais. Essa tarefa se apoia diretamente na análise de alavancas feita na tarefa 1.2. A alavanca prioritária identificada ali é o principal critério para escolher a North Star Metric adequada ao momento da empresa. O indicador definido aqui passará a ser o centro dos dashboards comerciais (tarefa 7.5) e o critério de alinhamento das metas (tarefa 7.1).

REQUISITOS
- Ownership de receita definido e comunicado (tarefa 1.1 concluída). - Alavancas de crescimento mapeadas com alavanca prioritária definida (tarefa 1.2 concluída). - Clareza sobre o modelo de negócio atual: se a receita é predominantemente recorrente, transacional ou mista. - Acesso a dados históricos de faturamento, base de clientes e churn dos últimos 6 a 12 meses.

VALIDAÇÃO
- Um único indicador foi escolhido como North Star Metric da operação comercial? - A escolha do indicador está documentada com fórmula de cálculo e justificativa? - O valor atual e a meta dos próximos 12 meses estão definidos em número absoluto? - A linha de base histórica (últimos três períodos) está registrada? - Existe um responsável único pela atualização do indicador? - A North Star Metric aparece em destaque no dashboard comercial e nas reuniões de performance? - Todo o time comercial conhece o indicador, entende o que ele mede e sabe como contribui para movê-lo?

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,,Seção 1: Posicionamento e Alavancas de Crescimento
1.3.1 Identifique o modelo de receita predominante da empresa.,"Identifique o modelo de receita predominante da empresa. Responda às seguintes perguntas antes de escolher o indicador: a maior parte da receita vem de contratos recorrentes ou de vendas transacionais? O crescimento atual depende mais de novos clientes ou de expansão na base existente? A empresa tem churn relevante que precisa ser monitorado como prioridade? As respostas definem qual categoria de North Star Metric faz mais sentido para o momento.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.3. North Star Metric Comercial Definida,Seção 1: Posicionamento e Alavancas de Crescimento
1.3.2 Avalie os quatro candidatos principais com base no perfil da empresa.,"Avalie os quatro candidatos principais com base no perfil da empresa. O ARR é indicado para empresas com contratos anuais recorrentes e visibilidade de longo prazo na receita. O MRR é indicado para empresas com assinaturas mensais ou receita recorrente de ciclo curto. Novos logos é indicado quando a empresa está em fase de expansão de mercado e aquisição de clientes é a prioridade central. O NRR é indicado quando a base de clientes já tem volume relevante e a prioridade é garantir que ela cresça por expansão e retenção, não apenas por novas aquisições.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.3. North Star Metric Comercial Definida,Seção 1: Posicionamento e Alavancas de Crescimento
1.3.3 Escolha um único indicador.,"Escolha um único indicador. Documente a escolha com três elementos: o nome do indicador, a fórmula ou critério de cálculo utilizado pela empresa e a justificativa da escolha em relação ao modelo de negócio e momento atual. Evite escolher dois indicadores como ""co-North Star"": quando tudo é prioridade, nada é.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.3. North Star Metric Comercial Definida,Seção 1: Posicionamento e Alavancas de Crescimento
1.3.4 Defina o valor atual do indicador e a meta para os próximos 12 meses.,"Defina o valor atual do indicador e a meta para os próximos 12 meses. A meta deve ser expressa em número absoluto (ex: MRR de R$ 150.000 até dezembro) e não apenas em percentual de crescimento. Registre também o valor do indicador nos últimos três períodos para estabelecer a linha de base histórica.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.3. North Star Metric Comercial Definida,Seção 1: Posicionamento e Alavancas de Crescimento
1.3.5 Defina a frequência de monitoramento e o responsável pela atualização do número.,"Defina a frequência de monitoramento e o responsável pela atualização do número. A North Star Metric deve ser revisada na mesma cadência da reunião comercial principal da empresa (semanal ou quinzenal). O responsável pela atualização deve ser único e deve garantir que o número esteja sempre correto e acessível antes de cada reunião.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.3. North Star Metric Comercial Definida,Seção 1: Posicionamento e Alavancas de Crescimento
1.3.6 Torne o indicador visível.,"Torne o indicador visível. Inclua a North Star Metric no dashboard comercial principal (tarefa 7.5) e certifique-se de que ela aparece em destaque no início de toda reunião de performance comercial. O time precisa ver esse número com frequência suficiente para que ele oriente decisões do dia a dia, não apenas análises mensais.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.3. North Star Metric Comercial Definida,Seção 1: Posicionamento e Alavancas de Crescimento
1.3.7 Comunique a escolha e a lógica para todo o time comercial.,"Comunique a escolha e a lógica para todo o time comercial. Explique o que o indicador mede, por que ele foi escolhido e como o trabalho de cada pessoa contribui para movê-lo. Sem essa conexão, o número fica restrito à liderança e perde sua função de bússola coletiva.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.3. North Star Metric Comercial Definida,Seção 1: Posicionamento e Alavancas de Crescimento
1.4. Critérios de Onde Não Atuar Documentados,"TAREFA MACRO
Definir e documentar os critérios que a empresa utilizará para recusar oportunidades comerciais que não se encaixam no ICP (Perfil do Cliente Ideal) ou na estratégia. Esses critérios devem ser objetivos, conhecidos por todo o time e aplicados de forma consistente no dia a dia da operação, garantindo que o esforço comercial seja concentrado onde há real potencial de resultado.

LÓGICA E IMPORTÂNCIA
Poucas decisões custam mais caro para uma operação comercial do que perseguir o cliente errado. O problema raramente aparece no momento da prospecção: aparece três meses depois, quando o negócio fecha com margem ruim, quando o cliente cancela antes do prazo ou quando o time de entrega sinaliza que não consegue atender o que foi prometido. E a conta, nesse ponto, já está alta. Situações como ""fechamos, mas o cliente nunca fica satisfeito"" ou ""vendemos bem, mas a operação não consegue entregar"" são sintomas diretos da ausência de critérios claros de recusa. Sem um filtro documentado, cada vendedor usa seu próprio julgamento, e o resultado é uma carteira heterogênea de clientes com perfis, expectativas e custos de atendimento completamente diferentes. Saber onde não atuar não é pessimismo comercial: é foco estratégico. A empresa que define com clareza quais oportunidades não vai perseguir libera tempo, energia e capacidade para as oportunidades que realmente têm potencial de gerar receita saudável e relacionamento duradouro. Essa tarefa fecha a Seção 1 porque o foco só é possível quando a empresa sabe tanto onde quer chegar (North Star Metric, tarefa 1.3) quanto onde deliberadamente escolhe não ir. Os critérios definidos aqui serão operacionalizados no processo de qualificação (tarefa 2.4) e incorporados ao playbook comercial (tarefa 3.3).

REQUISITOS
- ICP definido estrategicamente pela empresa (perfil de cliente ideal com características de segmento, porte, comportamento de compra e fit com a solução). - Alavancas de crescimento mapeadas (tarefa 1.2 concluída). - North Star Metric definida (tarefa 1.3 concluída). - Acesso a histórico de clientes problemáticos, cancelamentos e negócios com margem abaixo do esperado.

VALIDAÇÃO
- Os critérios de recusa estão documentados em linguagem objetiva e aplicável? - Cada critério é claro o suficiente para ser aplicado sem consulta à liderança? - O fluxo de exceção está definido com responsável e alçada de aprovação? - Os critérios foram incorporados ao processo de qualificação e ao playbook comercial? - O time comercial conhece os critérios e entende a lógica por trás deles? - Existe uma data definida para revisão semestral dos critérios? ## ## SEÇÃO 2: GERAÇÃO E QUALIFICAÇÃO DE DEMANDA*- {#seção-2:-geração-e-qualificação-de-demanda}

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,,Seção 1: Posicionamento e Alavancas de Crescimento
"1.4.1 Reúna a liderança comercial, o responsável pela entrega ou operação e, quando possível, o...","Reúna a liderança comercial, o responsável pela entrega ou operação e, quando possível, o responsável financeiro. O objetivo é levantar, com base em experiência real, quais perfis de cliente ou situações geraram mais problemas, custos ocultos ou insatisfação nos últimos 12 meses.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.4. Critérios de Onde Não Atuar Documentados,Seção 1: Posicionamento e Alavancas de Crescimento
"1.4.2 Liste os clientes ou negócios que, ao olhar para trás, não deveriam ter sido aceitos.","Liste os clientes ou negócios que, ao olhar para trás, não deveriam ter sido aceitos. Para cada um, registre o motivo: perfil fora do ICP, ticket abaixo do mínimo viável, prazo inviável, escopo incompatível com a solução, comportamento de compra inadequado ou outro fator relevante.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.4. Critérios de Onde Não Atuar Documentados,Seção 1: Posicionamento e Alavancas de Crescimento
"1.4.3 A partir dessa lista, identifique padrões.","A partir dessa lista, identifique padrões. Agrupe os motivos em categorias recorrentes. Esses padrões são a matéria-prima dos critérios de recusa.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.4. Critérios de Onde Não Atuar Documentados,Seção 1: Posicionamento e Alavancas de Crescimento
1.4.4 Redija os critérios de recusa em formato de regras objetivas.,"Redija os critérios de recusa em formato de regras objetivas. Cada critério deve ser claro o suficiente para que qualquer vendedor aplique sem precisar consultar a liderança. Exemplos de formato: ""Não atendemos empresas com faturamento abaixo de X"", ""Não aceitamos projetos com prazo de entrega inferior a Y semanas"", ""Não seguimos com leads que não têm orçamento definido.""

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.4. Critérios de Onde Não Atuar Documentados,Seção 1: Posicionamento e Alavancas de Crescimento
1.4.5 Defina o que acontece quando um vendedor identifica uma oportunidade fora dos critérios.,"Defina o que acontece quando um vendedor identifica uma oportunidade fora dos critérios. Estabeleça se existe um fluxo de exceção (aprovação pela liderança), em quais condições ele se aplica e quem tem alçada para autorizar a exceção. Documente esse fluxo de forma simples.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.4. Critérios de Onde Não Atuar Documentados,Seção 1: Posicionamento e Alavancas de Crescimento
1.4.6 Registre os critérios no playbook comercial (tarefa 3.3) e inclua-os no processo de qualificação...,"Registre os critérios no playbook comercial (tarefa 3.3) e inclua-os no processo de qualificação de leads (tarefa 2.4). Os critérios precisam estar onde o vendedor os consulta no momento da decisão, não em um documento separado que ninguém abre.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.4. Critérios de Onde Não Atuar Documentados,Seção 1: Posicionamento e Alavancas de Crescimento
1.4.7 Apresente os critérios para o time comercial em reunião.,"Apresente os critérios para o time comercial em reunião. Explique a lógica por trás de cada um, cite exemplos reais quando possível e deixe espaço para perguntas. A adesão do time depende de compreensão, não apenas de instrução.

SUGESTÃO DE RESPONSÁVEL
Empresa pequena: Sócio/Diretor responsável por vendas. Empresa média: Diretor Comercial ou Head de Vendas. Empresa grande: VP Comercial ou Chief Revenue Officer (CRO).",Seção 1: Posicionamento e Alavancas de Crescimento,1.4. Critérios de Onde Não Atuar Documentados,Seção 1: Posicionamento e Alavancas de Crescimento
